,paragraph
0,This document includes an updated Part B Methodology from the June 2019 report and an updated Part F Full list of technical screening criteria The other original sections from the June 2019 report can be found as labelled in the June 2019 report
1,PART A Explanation of the Taxonomy approach This section sets out the role and importance of sustainable finance in Europe from a policy and investment perspective the rationale for the development of an EU Taxonomy the daft regulation and the mandate of the TEG
2,PART B Methodology This explains the methodologies for developing technical screening criteria for climate change mitigation objectives adaptation objectives and do no significant harm to other environmental objectives in the legislative proposal This has been updated since 2019
3,This report represents the overall view of the members of the Technical Expert Group and although it represents such a consensus it may not necessarily on all details represent the individual views of member institutions or experts The views reflected in this Report are the views of the experts only This report does not reflect the views of the European Commission or its services
4,In the June 2019 report the TEG explained the process used to assess and select economic activities for inclusion in the Taxonomy Shown in Figure 1 The Taxonomy Regulation has not materially changed the TEGs thinking on methodology for selecting sectors Further the TR takes up the TEGs recommended approach to identify enabling activities as a type of activity
5,The TEG also recognises that some important activities are not captured by the NACE codes For example urban and regional planning for low carbon development including avoided journeys support for lower carbon personal choices such as vegetarian diets and investments to maintain public natural capital such as natural forests and wetlands Further work is needed to include these in the Taxonomy in future
6,The first group of sectors included by the TEG were those with high climate change mitigation need and potential on the basis of scope 1 emissions data2 In addition the TEG considered aspects of B  Mining and Quarrying to the extent these supported activities in C  Manufacturing However a full evaluation of the mining and quarrying sector was not undertaken
7,TEG initially used Eurostat emissions inventory data from 2016 More recent emissions data is now available however this does not change the findings of the TEG as the sector profile of Europes emissions was broadly the same in 2016 and 2018
8,In addition the TEG recognised that failure to address the carbon performance of buildings which alone contribute 36 of CO2e emissions in the EU283 would risk causing harm to climate objectives Buildings are not a single economic activity under the NACE system The TEGs buildings criteria are designed to be crosscutting and apply across the economy with the exception of explicitly excluded sectors dedicated storage of fossil fuels For presentation purposes the TEG has aligned the building criteria with NACE codes for construction and real estate activities However the buildings criteria are not limited to these NACE codes and can be applied across other sectors and economic activities
9,The TEG also considered sectors that could enable a substantial contribution in one of the other selected sectors J  Information and Communication and M  Professional Scientific Technical activities and due to their potential to be enabling activities See Table X for a description of enabling activities
10,The selected macrosectors represent a minimum of 935 of NACEbased scope 1 emissions in the EU based on 2018 data although this figure is likely to be an underestimate as it does not consider buildings emissions in all sectors
11,2 TEGs analysis is based on Scope 1 emissions data as Scope 2 and 3 data by NACE code was not available However the Taxonomy recognises energy efficiency improvements consistent with the requirements of the Taxonomy Regulation
12,3 See httpseceuropaeuenergyentopicsenergyefficiencybuildings Note that emissions from buildings are considered across NACE codes Emissions from domestic buildings are typically excluded from NACE codes as domestic occupation is not considered an economic activity Nonetheless activities to reduce emissions from the residential sector should be considered in the Taxonomy
13,Where economic activities have the potential to enable substantial GHG emissions reductions in other sectors these should also be included assuming the life cycle emissions of the activity do not undermine mitigation objectives
14,The TEG has identified priority activities within each sector The name of each macrosector is drawn directly from the NACE classification system and may refer to activities that were not covered eg the TEG has developed technical screening criteria for agriculture and forestry but not fishing
15,This sector was selected because of its emissions profile The TEG has identified some important economic activities likely to substantially contribute to climate change mitigation in this sector but further analysis should be undertaken
16,This sector was selected because it may be able to enable substantive emissions reductions in other sectors The TEG has identified the main economic activities likely to substantially contribute to climate change mitigation in this sector
17,This sector was selected because it may be able to enable substantive emissions reductions in other sectors The TEG has identified some important economic activities likely to substantially contribute to climate change mitigation in this sector but further analysis should be undertaken
18,4 For presentation purposes the TEG has aligned the building criteria with NACE codes for construction and real estate activities However the buildings criteria are not limited to these NACE codes and can be applied across other sectors and economic activities
19,5 TEGs methodology was based on Scope 1 emissions but we recognise that Information and Communication activities may also have substantial Scope 2 emissions This is reflected in the technical screening criteria for Information and Communications
20,contribution andor avoidance of significant harm to the environmental objective in question b Criteria including both metrics and thresholds The methods by which the environmental performance of the economic activity will be measured including defining the boundary for this measurement and the qualitative or quantitative conditions which must be met to enable the performance of the activity in a way that is considered environmentally sustainable
21,1 An economic activity shall be considered to contribute substantially to climate change mitigation where that activity substantially contributes to the stabilization of greenhouse gas concentrations in the atmosphere at a level which prevents dangerous anthropogenic interference with the climate system by avoiding or reducing greenhouse gas emissions or enhancing greenhouse gas removals through any of the following means including through process or product innovation consistent with the long term temperature goal of the Paris Agreement
22,a generating transmitting storing distributing or using renewable energy in line with Directive EU 20182001 including through using innovative technology with a potential for significant future savings or through necessary reinforcement or extension of the grid
23,fa strengthening land carbon sinks including through avoided deforestation and forest degradation restoration of forests sustainable management and restoration of croplands grasslands and wetlands afforestation and regenerative agriculture
24,1a For the purposes of paragraph 1 an economic activity for which there is no technologically and economically feasible low carbon alternative shall be considered to contribute substantially to climate change mitigation as it supports the transition to a climateneutral economy consistent with a pathway to limit the temperature increase to 15 degrees Celsius above preindustrial levels including by phasing out greenhouse gas emissions in particular from solid fossil fuels where that activity
25,has greenhouse gas emission levels that correspond to the best performance in the sector or industry  does not hamper the development and deployment of lowcarbon alternatives and  does not lead to a lockin in carbonintensive assets considering the economic lifetime of those assets
26,In addition the EU has brought forward a proposal for a Climate Law requiring a climate neutral economy by 2050 as well as proposals for interim GHG emissions reductions targets of 50  55 by 2030 TEGs recommendations are aligned with these goals
27,The following table has been updated since the June 2019 report to show how to consider different types of investment and finance as Taxonomy eligible The update is to more clearly align with the Taxonomy Regulation which clearly identifies enabling activities reflecting the TEG recommendation We now refer to the two activity types as either An activity which has a substantial contribution due to its own performance  referring to the operations within the activity reflecting the activity boundary for the technical screening criteria or an Activity Enabling Mitigation in another economic activity
28,This table also demonstrates how activities that contribute to transition Transition Activities in the Taxonomy Regulation are still expected to substantially contribute to climate mitigation objectives and meet Taxonomy thresholds This was identified as the third activity type in the June 2019 TEG report
29,On this basis the TEG recommends that the Platform on Sustainable Finance prioritise full evaluation of existing sectors selected rather than the immediate expansion of the sectors covered However the Platform on Sustainable Finance should continue to monitor sectoral emissions in case of material changes in the underlying data
30,The TEG also recognises that some important activities are not captured by the NACE codes For example urban and regional planning for low carbon development including avoided journeys support for lower carbon personal choices such as vegetarian diets and investments to maintain public natural capital such as natural forests and wetlands Further work is needed to include these in the Taxonomy in future
31,The activities identified by the TEG using this methodology reflect the majority  but not all  of the economic activities which can avoid significant harm or substantially contribute to climate change mitigation In some cases the TEG was not able to fully evaluate the potential contribution of a subsector with the resources available in the timeframe available The TEG therefore recommends that the Platform on Sustainable Finance undertake further evaluation of activities within the existing sectors with a particular focus on
32,TEG also recommends that the Platform on Sustainable Finance continues the work on inclusion of enabling activities within other sectors in the Taxonomy Recognition of enabling activities is an important way to encourage research development innovation and resulting substantial GHG reductions in economic activities and encourage flows of finance to these activities
33,The methodology for identifying activities that provide a substantial contribution to adaptation has not changed since the publication of the taxonomy report in June 2019 The substantial contribution criteria for adaptation have not changed in nature but have been made consistent with the final regulation proposals of December 2019
34,The proposed approach for an adaptation taxonomy recognises that adaptation is context and location specific and requires the use of a processbased approach to determine if an activity contributes to adaptation and broader systems climate resilience The following twostep process aims to demonstrate that an activity contributes to a substantial reduction of the negative effects of climate change
35,a Assessing the expected negative physical effects of climate change on the underlying economic activity that is the focus of resiliencebuilding efforts drawing on robust evidence and leveraging appropriate climate information
36,The assessment of the contribution of the activity will vary based on its scope asset corporate sector or market as well as spatial and temporal scale Moreover the proposed approach recognises that an adaptation activity may target an entity eg a corporation or a city andor a market sector or region
37,Activitylevel adaptation aims at strengthening an asset or economic activity to withstand identified physical climate risks over its lifetime such as considering sealevel rise in the design of a bridge Systemic adaptation aims to actively reduce vulnerability and build resilience of a wider system or systems such as a community ecosystem or city
38,The TEG recognises that climate change will affect all sectors of an economy and all sectors must adapt to its impacts globally As a result the adaptation taxonomy is a set of guiding principles and qualitative screening criteria which can be applied in any economic activity in any location It is therefore the view of the TEG that these criteria are globally relevant
39,The contextspecific nature of adaptation means that it is not possible to produce a standalone and exhaustive list of activities that could be viewed as contributing to adaptation under all circumstances Instead of a list of adaptation activities a set of guiding principles and screening criteria is used to assess the potential contribution of an economic activity to adapt to climate change and increase climate resilience To aid users of the Taxonomy the TEG has also developed an indicative framework for classification of climaterelated hazards and a climate sensitivity matrix for specific economic activities see Classification of climaterelated hazards and Sectoral climate sensitivity matrices
